,User,Data Created,Number of Likes,Source of Tweet,Tweet
5668,33_toes,2023-01-03 02:13:25+00:00,12,Twitter for Android,@pastelpigment @ETossed @chickenman400 @FrogFromNS @JSalt_ @LioSSBM @all_orang @AeroSSBM @Umbr_SSBM @bekvin_ @akirthehacker I Am Not Strong For This I Am Just Depressed And Broke And Netplay Tournaments Are Free 😎🤠
5669,casofsmalldeath,2023-01-03 02:09:57+00:00,0,Twitter for Android,"aftersun will finally on mubi in 4 days. i will become even more depressed than i am now, but it'll have been worth it because from friday on i can rewatch and rewatch it for as many times as i want (not healthy)"
5670,lily_sier,2023-01-03 02:07:38+00:00,1,Twitter for iPhone,"i don’t think i’ve ever been as depressed as i am right now lol. 

i don’t know how to make it stop."
5671,paralexxium,2023-01-03 02:06:38+00:00,1,Twitter Web App,@JoJoJosiah_ i am so depressed
5672,miltaaaaaaa7,2023-01-03 01:59:55+00:00,27,Twitter for iPhone,Posted I was depressed last night and few of my twitter fam really took their time off to send me a message and check on me to make sure i’m doing okay and I am so overwhelmed by yall. Love you all so much 🥹🤍.
5673,LomasZella,2023-01-03 01:55:26+00:00,0,Twitter for iPhone,"I am depress,sad, and mad because my Christmas break is over and back to work it is tomorrow. I want my man to say to me don’t work I maintain you. But nope! He said you need to work!!!"
5674,BlackManFedUp,2023-01-03 01:49:44+00:00,0,Twitter Web App,"@TheRealHoarse Been rough. My sister died late last year, and I am now getting her house ready to rent. Going thru her things has me really depressed. I found my mother’s obituary and pictures I haven’t seen in decades. I am not doing well at this very minute."
5675,alec_hq,2023-01-03 01:36:18+00:00,2,Twitter for iPhone,I am going to sleep feeling really sad and depressed and yes it’s only 6:36 pm mountain time goodnight
5676,TheCadoc,2023-01-03 01:28:11+00:00,3,Twitter Web App,"@Chartoc Young men seem to often feel that the society sees them as disposable, and their struggles as fake

Tbh I think that's exaggerated, but the discourse here's making me depressed

And I am sick of having to explicitly state I am not some MRA asshole every time I speak up about this"
5677,SBRYT12,2023-01-03 01:24:12+00:00,0,Twitter for Android,"@YouTube @YouTubeCreators 
@YouTubeIndia 

Dear youtube 
My Friend YouTube channel was get 4 fake strike on 02-01-2023
 I am very depressed after this incident. 
Please help me to remove this fake strike 🥺

Channel name - V.P.A. GAMING"
5678,yepimclueless,2023-01-03 01:23:14+00:00,1,Twitter Web App,i love my job my life isnt that bad honestly it could be worse but i am so depressed and constantly feel suicidal and nothing makes me feel anything feeling like this is the only thing im capable of lol
5679,madeline_starr,2023-01-03 01:15:22+00:00,4,Twitter for iPhone,every book i read as a kid was about another kid processing grief and that is why i’m the well rounded depressed adult i am now
5680,brrreeezzyy,2023-01-03 01:13:12+00:00,0,Twitter for iPhone,"I am seriously depressed, I don’t wanna go back 😭😭"
5681,iamkonnect,2023-01-03 01:07:29+00:00,7,Twitter for iPhone,"I am happy, but atimes I am depressed! This year I got a solution, just smile"
5682,Bubumagoo,2023-01-03 01:07:23+00:00,1,Twitter for Android,I am depress
5683,LoupAccusatif,2023-01-03 01:06:46+00:00,0,Twitter Web App,"I am:
- hornery 
- in pain
- depressed
- very tired

I'm probably actually sick and just need to curl up and sleep, but that doesn't feel like an option rn.

/whine bark howl"
5684,KaidenGamer,2023-01-03 01:05:12+00:00,1,Twitter for iPhone,"People don’t seem to understand why I decide to be the way I am. It filters out people who can’t handle me. I’m angry, depressed, pretty crass, petty, etc etc., and I’m well aware. This is a result of my life experiences. If you can make it past that, I’m actually quite kind."
5685,TheSunChronicle,2023-01-03 01:00:34+00:00,3,Hootsuite Inc.,"“I am grateful I swallowed my pride and walked into the pantry that day because if I hadn’t, I would still be sitting on the sofa depressed, trying to figure out where we're going to get our next meal,” said a #NorthAttleboro woman. https://t.co/Co4QAF7D7U https://t.co/aXBHbmUYsr"
5686,DelArlena,2023-01-03 00:59:58+00:00,2,Twitter Web App,"Okay, now I am truly depressed."
5687,HelenMo90276251,2023-01-03 00:54:55+00:00,1,Twitter Web App,Sorry the life of mine is perfect and I am not depressed any longer and I have the best luck as well as everything is perfect for me and
5688,cicadaworm,2023-01-03 00:48:53+00:00,8,Twitter for iPhone,I am depressed
5689,tamara_myg,2023-01-03 00:47:58+00:00,1,Twitter for Android,"@Elea_fr my best friend asked me to change or he would leave my life, then we talked and he decided to get away from me bc i am depressed 💀 sooo we won't talk anymore"
5690,bIoodbite,2023-01-03 00:43:59+00:00,0,Twitter for iPhone,am i depressed because school is starting soon or is this just who i am https://t.co/lIX3UlKBFO
5691,bullskadan,2023-01-03 00:39:29+00:00,13,Twitter Web App,"This is ridiculous because when I wore all black I was anxious, depressed, and wanted to blend in. Now I am older and wear colors and patterns! To me THAT seems confident!"
5692,shiroimegami,2023-01-03 00:28:58+00:00,0,Twitter for Android,"bigdick depression which was not even that good imo and I am a sad, depressed and pathetic old man sommelier"
5693,arishy123,2023-01-03 00:25:38+00:00,2,Twitter for Android,I am in deep down depressed tonight since I almost cleaned the intire kitchen and my mom noticed what's wrong with me https://t.co/WXLTMKrL36
5694,trekwest,2023-01-03 00:21:47+00:00,0,Twitterrific for Mac,"@folkrockdiva I haven’t touched those kinds of lists for years, they always make me far too depressed. I know I am biased, and I’m actually proud of it, but the idea that opinion can be morphed into fact breaks me."
5695,sskittlesss,2023-01-03 00:18:15+00:00,1,Twitter for iPhone,i am not looking forward to going back to school again tomorrow and being depressed at my schedule of being too tired when i get home and not having time to do anything i enjoy
5696,Selenaslays25,2023-01-03 00:14:30+00:00,1,Twitter for iPhone,@seltaylena I am just depressed and sad
5697,TheSassyBirdie,2023-01-03 00:12:03+00:00,7,Twitter for iPhone,I have to go to an all day district PD tomorrow for my content area. Then on Thursday/Friday PD at school. I am in the depths of despair. It’s been a good run. Too depressed to even watch tv. https://t.co/8L5dDJyPAQ
5698,malefragilitea,2023-01-03 00:01:58+00:00,1,Twitter for iPhone,I used to say sometimes I thought I was a 10 and sometimes a 2 and then I discovered it was because I am bipolar so when I was manic I would think I was a 10 and when I was a depressed a 2 lmao.
5699,cranberryfiend,2023-01-02 23:54:46+00:00,0,Twitter for Android,i am depressed so time for another day where i listen to music for an ungodly amount of time and weep https://t.co/EBeYyYPE6a
5700,claylucaa,2023-01-02 23:48:42+00:00,1,Twitter for iPhone,"i love lifestyle tik toks, they make me actually wanna b a productive member of society and not the depressed, anxious couch potato that i am"
5701,bastardIesbian,2023-01-02 23:43:10+00:00,12,Twitter for iPhone,"Not sure if this makes me a bit boring or is a reminder of how depressed I am, but I never have the energy to be mad about/debate whenever those “greatest of all time” lists come out."
5702,yelyahbell,2023-01-02 23:41:56+00:00,4,Twitter for iPhone,someone send happy music I AM DEPRESSED 🥺
5703,KongStonky,2023-01-02 23:37:00+00:00,0,Twitter Web App,"@petestrzok Pete Strozk's hot take: international business man pays taxes. Must be a conflict of interest.

Also Pete Strzok after Trump is elected: ""OMG I am so depressed""

There was no conflict of interest while texting the woman he cheated in his wife with.

Stellar levels of integrity."
5704,SamBa726_,2023-01-02 23:33:51+00:00,0,Twitter for iPhone,@tomgrossicomedy Pls grossi pick me i am depressed after what your packers did to the Vikings
5705,ORACLEMlND,2023-01-02 23:33:45+00:00,0,Twitter for Android,"instead of answering, she's finishing off her drink in just one swig.

” i think i am deeply depressed. “"
5706,JulcziMozart,2023-01-02 23:26:03+00:00,2,Twitter for Android,@kokraMda True tho I am also depressed 😩
5707,_Di2mond,2023-01-02 23:25:57+00:00,1,Twitter for iPhone,"Idc how stressed , depressed or tired I am, my kids always get the best version of me"
5708,zakariya_umarr,2023-01-02 23:23:20+00:00,0,Twitter for iPhone,"My name is Zakariya, and I am depressed Chelsea and football fan."
5709,Ayomidebaby11,2023-01-02 23:17:09+00:00,1,Twitter for iPhone,"I could be depressed af and still cheer you up. 

        That’s how strong I am."
5710,depr1v3d_,2023-01-02 23:04:48+00:00,1,Twitter Web App,"journaled , studied and bathed today its like i am not depressed"
5711,miissses,2023-01-02 23:01:18+00:00,0,Twitter for iPhone,Et house of the dragon ?????? I am depressed
5712,notveryalice,2023-01-02 22:54:54+00:00,0,Twitter Web App,@Notideeart omg I STILL DO IT TOO it's like one of the most reliable methods for someone testing my mental health. i am depressed if i am frightened of toilets jkdsamfksdmnfkjndfj
5713,TheGr8Scot,2023-01-02 22:54:27+00:00,8,Twitter Web App,"Maybe I'm just tired or low on serotonin today, but despite accomplishing everything I wanted/needed to today, I am feeling rather depressed."
5714,artputriayu,2023-01-02 22:54:14+00:00,9,Twitter for Android,"I am depressed. 
please leave me alone 

Please you place world want friends Diana

Your don't blocking Instagram
you know Diana.

Please you my Facebook delete photo https://t.co/5K4lfdyvVw"
5715,JillianAtLast,2023-01-02 22:53:18+00:00,12,Twitter for Android,"@SecretlyToku @MavenOfMayhem I'm a late bloomer, coming out in my 50s. My mum had a similar reaction. She knew I was deeply unhappy - bad-tempered, depressed, prone to angry outbursts. When she met me as me for the first time last summer, she said it was obvious how much happier and more comfortable I am."
5716,boneofheart,2023-01-02 22:51:37+00:00,5,Twitter for iPhone,i’m back who missed me (i am severely depressed again)
5717,TheWerelizard,2023-01-02 22:46:34+00:00,6,Twitter Web App,"It is 2023 and I am in fact, very much depressed"
5718,khigirlinlhr,2023-01-02 22:45:53+00:00,15,Twitter for iPhone,I was already depressed and I watched #Qala ab I am even more depressed.
5719,rainn_nr,2023-01-02 22:45:41+00:00,0,Twitter for iPhone,There are rarely shows that I get obsessed with but Alchemy of Souls is an exception. I even read about how you can get depressed when you are being too connected with the characters and I am totally in that position now
5720,hongiesskirt,2023-01-02 22:34:42+00:00,1,Twitter for Android,I am so glad most of the moonbae vlives are found on other platforms omfg- or else I would be so depressed for the rest of my life since they are my safe place whenever I nee comfort
5721,iknowimthatgirl,2023-01-02 22:29:51+00:00,0,Twitter Web App,I am actually so depressed to be going back into work tomorrow.
5722,HERBERT905163,2023-01-02 22:28:36+00:00,0,Twitter for Android,@AdamSchefter As a Jet fan I am so depressed yet again
5723,upliftedelevate,2023-01-02 22:23:57+00:00,0,Twitter Web App,"I'm not sure if I'm depressed, I mean I am not sad, But I'm also not sad. But I wouldn't say I'm exactly happy either. I can laugh, Smile, and joke with my friends. But when I'm alone at night, I feel just numb
#upliftedandelevate #LateNight"
5724,liverbirdjen,2023-01-02 22:20:52+00:00,14,Twitter for iPhone,"Apologies to anybody who might have had a drunken text off me tonight… I have drunk far too much, I have took the knock, I feel like shit, I am depressed with football,… But I still love it! #YNWA"
5725,erosibardhsikos,2023-01-02 22:14:42+00:00,7,Twitter for Android,"I am so sad, i am so depressed (po du likes n tfiter)"
5726,ChemoBrainiac,2023-01-02 22:13:50+00:00,0,Twitter for iPhone,"Many youngsters ask me, they say, how do I become a “man?”

- Smoke darts
- Study philosophy
- Start TRT (preferably, in your teens)
- Go go to school and ball at it
- Attempt suicide not bc ur depressed but to see if you’re cut out for the job

I am not a doctor yet
#badadvice"
5727,TauraTheOtter,2023-01-02 22:11:15+00:00,0,Twitter for Android,"""why so inactive?"" - If you mean here on Tellonym then it's cause I usually only check it once a weekday, anywhere else is either cause I am at work or so depressed I have convinced myself nobody would notice if I didn't come online #tellonym  https://t.co/VooIqawNTb"
5728,NebirosVT,2023-01-02 22:07:31+00:00,1,Twitter for Android,"@BeelzebubTV I am to avoid that topic, and other political issues regardless of impact or importance, like the plague.

I've been involved in politics and it made me depressed, bitter, nihilistic and jaded, and I lost many, many, friends because of it."
5729,_UFF_DA,2023-01-02 21:56:27+00:00,1,Twitter for iPhone,i’m not as depressed as the state of my apartment would make it appear i am much much worse
5730,PARADOXPENUMBRA,2023-01-02 21:55:21+00:00,4,Twitter for iPhone,"🌹 In 2023 I am vowing to, with Freia’s new lore, make her less depressed and more whimsical &amp; energetic.

She’s still gonna be a bit of a grouchy guts tho, just a little tsundere. As a treat."
5731,DividendIncome_,2023-01-02 21:47:38+00:00,2,Twitter Web App,"@Positive_Call I am bent, but not broken. I am scarred, but not disfigured. I am sad, but not hopeless. 

I am tired, but not powerless. I am angry, but not bitter. I am depressed, but not giving up.

— Anonymous"
5732,wenchvomits,2023-01-02 21:43:00+00:00,0,Twitter for iPhone,I am depressed
5733,Mushu316,2023-01-02 21:42:33+00:00,0,Twitter for iPhone,"A Bible verse struck me today. In Genesis 4:6,7 God says to Cain, “Why are you angry? Why is your face downcast? If you do what is right, will it not be lifted up?“ After feeling a bit depressed these days, I am encouraged to examine my heart and receive God‘s love and peace."
5734,0x_kitsune,2023-01-02 21:35:42+00:00,27,Twitter for iPhone,"A man goes to a doctor. “Doctor, I’m depressed,” the man says. 

“The clown Godking is in town tonight,” the doctor says, “Go see him! He’s unfunny and cringe and corny.” 

The man bursts into tears. “But doctor, I am -“

“I know who you are.” says the doctor, “Cornball bozo.”"
5735,epicthundercat,2023-01-02 21:30:30+00:00,0,Twitter for Android,@SimonGotRekt I have tried quite a few medicines and one made me severely depressed (Ritalin) and another gave me heart palpitations. The one I am on now seems okay but none of them are perfect. My brain is just my brain and it's magical artsy fartsy. https://t.co/Ka2l0Wy0WM
5736,EricEmpire,2023-01-02 21:25:47+00:00,0,Twitter for iPhone,There hasn’t been a new it’s always sunny podcast episode in a couple weeks and I am very depressed
5737,mxdeupsmile,2023-01-02 21:24:47+00:00,0,Twitter for Android,"Liverpool depress me so I am exclusively a hockey fan now, no more football

Come on Devils, Let's Go Leafs 2023"
5738,KoriLucid,2023-01-02 21:21:43+00:00,1,Twitter for Android,@goodnight_soul No i am just tried not depressed just tired tho i got depression premium 🫡
5739,LongrichMiner,2023-01-02 21:19:34+00:00,3,Twitter for iPhone,@DevTobs I am a depressed techie
5740,Phyllis94584953,2023-01-02 21:18:21+00:00,11,Twitter Web App,"@HenryDJung1 I am so depressed hearing it all, Ron was so much like Trump, I know Paul and Bush endorsed him along with Bush's old AG, Bill Barr.  Guess should have known with that."
5741,WilliamSwishe17,2023-01-02 21:14:26+00:00,0,Twitter Web App,"I just drank some cold Disani water and between that and eating an orange, I feel less depressed. Wow, that hamburger I ate may have tasted good going down, but I am depressed afterword. I guess the folks from India are right."
5742,mtvgum,2023-01-02 21:14:06+00:00,0,Twitter for iPhone,i am no longer depressed 💯
5743,adi_mowles,2023-01-02 21:09:51+00:00,11,Twitter Web App,"I am now depressed.
Back to work tomorrow.
Please someone buy my house so I can at least consider retirement! 🙏
Another week off w/c 16th.
Hernia Op 26th so a recovery period
A mid May caravan break.
Oh woe is me, as it seems unlikely Posh will help my mood.
#pooroldman"
5744,wiseriddles,2023-01-02 21:04:02+00:00,4,Twitter for iPhone,Had so much fun this weekend and as a result I am now incredibly depressed and accidentally have been sitting in bed for 3 hours
5745,ZJemptv,2023-01-02 20:51:23+00:00,16,Twitter Web App,"I am still depressed, but I am depressed and also reading through hundreds and hundreds of papers"
5746,CoasterIj,2023-01-02 20:47:06+00:00,1,Twitter for Android,@wakidery I am the same person I was before watching Bocchi (depressed)
5747,roseswildfire,2023-01-02 20:41:55+00:00,3,Twitter Web App,i hate how i am depressed now
5748,derriandaviss,2023-01-02 20:37:22+00:00,0,Twitter for iPhone,Here I Am Depressed As Hell Thinking I Lost The +3.5 So I Turned The Game Off After The Made FG. I Open Twitter And See This Beauty. LFG 🤩
5749,Shizzy87,2023-01-02 20:36:10+00:00,1,Twitter for iPhone,@pathfinder305 So we are in disbelief? I am way past depressed lol
5750,JamesTheuma,2023-01-02 20:24:43+00:00,4,Twitter Web App,"How do I tell my kids that Brentford got 10 points from these fixtures 😂😂😂

I am severely depressed https://t.co/mAuur9RNQi"
5751,Celeste_L_Glory,2023-01-02 20:22:36+00:00,5,Twitter for iPhone,"@SiliconeAndBone oh yeah i am very open and it takes a lot to not like, accidentally let slip something about feeling depressed cause i know some shit can get me involuntarily locked up"
5752,Issaamazza,2023-01-02 20:13:22+00:00,1,Twitter for iPhone,I’ve had 10 days of no work do u know how depressed I am to be going back tomorrow 😭😭😭
5753,brigles2,2023-01-02 20:12:49+00:00,1,Twitter Web App,@FreedomForMD They enjoy watching others fail when it proves their morality wrong. “If they are right and I am wrong then I contributed to evil” is a thought most people can’t take. Maybe it’s because they want Heaven so badly. Maybe they get depressed when they realize they are flawed.
5754,contrab0nd,2023-01-02 20:09:41+00:00,3,Twitter for iPhone,still depressed 🙄 time to clean my room and make some art. I’m going to paint a canvas today and I am excited to channel this energy.
5755,loomeriaa,2023-01-02 20:08:56+00:00,1,Twitter for iPhone,"1: Pokémon tera raids are abysmal and they make me so angry I somehow never have the right pairings to win anything 
2: I am extremely depressed rn holy fuck"
5756,RinoFtg,2023-01-02 20:08:45+00:00,0,Twitter for iPhone,"I am so depressed akhosh short w long f aktr dor malignant w aldacatra eli tigi fhazi tkon almalignant w bgd nas mabtts2lsh w bt2afl allagna w dacatra bts2l as2ela wala hta almodarsin almosa3din 3arfnha bgd this is so unfaaaair,too much depression, we have been up for so long bgd"
5757,e30ultra,2023-01-02 20:04:12+00:00,1,Twitter for Android,this is what I use when I tweet about how depressed I am btw
5758,WaspyAlice,2023-01-02 20:04:03+00:00,0,Twitter Web App,"I am just happy the holidays are over and I don't have any excuse to binge.
Gained weight after eating Christmas dinner, sorry I haven't been active. Just been depressed."
5759,ShadowEclipex,2023-01-02 19:49:40+00:00,12,Twitter Web App,@shadmbrooks @ceno02 I am not sure how you could watch that vid as someone with a creative career and not feel a bit depressed about the stuff was said in there.
5760,breesnick,2023-01-02 19:43:45+00:00,12,Twitter for iPhone,we’ll never know if they survived the great war guys i am so depressed.  https://t.co/qAKCCzBBAT
5761,shrekzema,2023-01-02 19:23:30+00:00,5,Twitter for iPhone,I am so depressed lol
5762,lilwarlockuwu,2023-01-02 19:23:04+00:00,2,Twitter for Android,Telling my mom I am horribly depressed is probably the hardest thing I did in a long time right now
5763,MohmedImranK,2023-01-02 19:10:26+00:00,0,Twitter for Android,"Now a days, whenever I am depressed, I use to pray my god and watch Rahul Gandhi in various social media to watch his positive attitude towards life. 

Thanks @YouTube , @facebook @RahulGandhi , @INCIndia and @kharge for dreaming a good future for every Indian in distress."
5764,J_Snackz,2023-01-02 19:09:42+00:00,1,Twitter for iPhone,"@PhilaMathia I hope the eagles win next week. 

(1) I am extremely depressed"
5765,RowlingQuote,2023-01-02 19:04:12+00:00,1,"Cheap Bots, Done Quick!",I have never been remotely ashamed of having been depressed. Never. What’s to be ashamed of? I went through a really rough time and I am quite proud that I got out of that.
5766,SCAttleboro,2023-01-02 19:01:04+00:00,0,Hootsuite Inc.,"“I am grateful I swallowed my pride and walked into the pantry that day because if I hadn’t, I would still be sitting on the sofa depressed, trying to figure out where we're going to get our next meal,” a woman said of the #Attleboro church's pantry. https://t.co/6uv8jetMuj https://t.co/7CLu6vpaUN"
5767,_materrialistic,2023-01-02 18:58:52+00:00,0,Twitter for iPhone,Back to work tomorrow … I am depressed
5768,suicidalf4ggot,2023-01-02 18:57:18+00:00,1,Twitter for iPhone,@5t4rg1rl777 SO UNDERRATED AND I SO NOT UNDERSTAND HOW LIKE YES I AM A WOMAN I AM HURTING I AM A DEPRESSED HURTING WOMAN IM SORRY I AM THIS WAY IM NOT GOING TO CHANGE BUT I WANT TO. LIKE???? ITS SO FUCKING GOOD
5769,MandalorianJedi,2023-01-02 18:56:59+00:00,0,Twitter for Android,"@MthrSuperiorBen Moments and feelings pass, of course. No feeling is permanent. So I don't mean to sound sad or depressed. I'm just aware. And I'm sorry for all those not as safe or comfortable as I am. I hope to find more ways to put good into the world for others."
5770,azizmbongkit,2023-01-02 18:54:40+00:00,0,Twitter Web App,"It is temps to dormir. Satisfied with today. Didn't faire beaucoup mais still happy. I was quite depressed yesterday. Don't know why. I am d'accord today. Sweet dreams. Hopefully, I can sleep throughout the night. My cough is really bothering me."
5771,cactdude,2023-01-02 18:51:03+00:00,1,Twitter for iPhone,somebody bought my prada shoes i am DEPRESSED
5772,r_n_g_are_dead,2023-01-02 18:48:09+00:00,1,Twitter for iPhone,"@heclosescases I have one and get something out of it. (I am also an anxious, depressed, neurodivergent introvert. Greetings.) A family member bought mine for me as a surprise gift, so I had no say in price/weight, but mine is 15lb and does help a little bit with sleep/feeling more grounded."
5773,eugyppius1,2023-01-02 18:47:07+00:00,375,Twitter for iPhone,grilfriend is showing me george monbiot videos on why we all need to eat precision fermented bacteria instead of meat or even plants and i  am just profoundly depressed that assange is in indefinite deep state confinement and this fucktard isn’t
5774,pikappforlife10,2023-01-02 18:45:34+00:00,7,Twitter for iPhone,When some started calling me amo it kind of made me depressed because that means I am getting old but after a while I started liking it because it’s a sign of respect and maturity.
5775,chamz_001,2023-01-02 18:37:46+00:00,0,Twitter for iPhone,@JanetteSamson1 i am depressed.. that wig is scaring me😂😂
5776,thearttofluving,2023-01-02 18:37:30+00:00,0,Twitter for iPhone,@Cutelassielass @SSTrihan @gaycowboyking @KesCatanna @PeaceRoseShephe Anxiety  bipolar and adhd. I was depressed before their passings but these were only life lessons that helped me grow and become who I am now
5777,ryuseigreenbot,2023-01-02 18:34:47+00:00,0,twittbot.net,"I may be saying how depressed I am and all, but I just have a habit of saying that, so don’t worry…"
5778,midoshino_bot,2023-01-02 18:33:58+00:00,0,twittbot.net,"I, as well, shall work harder than before.

So that Midori-kun shall no longer feel the need to say things such as ""I am depressed"" or ""I want to die"" ever again... I shall become stronger and protect this peace."
5779,EricaBu49893524,2023-01-02 18:29:20+00:00,0,Twitter for iPhone,@DistrictDingers @sinko47 I am still depressed about Soto.
5780,mattnewransky,2023-01-02 18:28:29+00:00,2,Twitter for iPad,"@JackWaltimore @uckema Yeah, normalizing assisted suicide as a valid option for people with mental health difficulties is really not helpful.
I have known a few desperately depressed people in my time. I am horrified at the thought of some official offering them assisted suicide."
5781,MiniTuxedo,2023-01-02 18:25:02+00:00,2,Twitter Web App,"Something I listen to and read.  Maybe it will help you if you are down or depressed or need perspective.  
 
Beyond all polarities I am.  Let the judgements and opinions of the mind be judgements and opinions of the mind and you exist behind that.  Ah so.  Ah so."
5782,RolewiczB,2023-01-02 18:23:18+00:00,11,Twitter for iPhone,I was once depressed but now I am a happy person who has problems
5783,777laylatov,2023-01-02 18:21:13+00:00,0,Twitter for iPhone,@shelvscinnamon i had 1800 lmao 😭😭 i am so depressed rn
5784,Lattesdotter11,2023-01-02 18:19:26+00:00,2,Twitter for Android,"I am trying really, really hard to empathize. I know I should be better than this, but within three months of being ill this man saw three separate specialists. Nobody was gaslighting him that he was faking or just depressed. He has no idea how lucky he is. #NEISvoid"
5785,krgpryal,2023-01-02 18:17:49+00:00,1,Revive Old Posts KRGP,"From the archives:   Depression, The Essay :: Today, I am painfully, horribly, depressed. 

I was also depressed yesterday, and the day before. And last week. And the week before. And last month. Likely the month https://t.co/Uzm4al0Vg6 #depression #mentalhealth #mentalillness"
5786,WikaHolmes,2023-01-02 18:14:43+00:00,0,Twitter Web App,@T0M1EC0RE @PopBase I'm not racist... at least I wouldn't say I am... I just think that he didn't do anything and people are acting like it was his fault and I do that because I really love and support him! He is my comfort person and he helps me when I feel depressed
5787,punkythera,2023-01-02 18:09:04+00:00,0,Twitter for iPhone,How am I supposed to work when I am depressed and anxious and in physical pain
5788,Bruin_Beaut,2023-01-02 18:08:43+00:00,0,Twitter Web App,"Drunk and too depressed to watch the Bruins game. I cant function. I am not okay. 
Someone hug me."
5789,HM_Q_Thicctoria,2023-01-02 18:06:57+00:00,2,Twitter for Android,"@peterodwyer333 @JamesLull9 Because it is funny as hell! 

When I am feeling down and depressed... I think about Putin falling and sh!tting himself and I am instantly laughing and feeling better! 🤣"
5790,ta8tastic,2023-01-02 18:05:13+00:00,3,Twitter for Android,@maazawan111 @nadia__muhammad @TahiraMn I am impressed and depressed in equal measures
5791,DegenKoo,2023-01-02 18:04:34+00:00,2,Twitter for iPhone,"Bruh don’t even listen to me I am half depressed pleb who’s sitting in a corner with some hope and hustling around. All I want to say is be good at people, stay away from your ego &amp; don’t be an opportunist- Karma is a bitch $BTC"
5792,Julia_drummer_,2023-01-02 17:59:29+00:00,2,Twitter for iPhone,Having a hard time gearing myself up for work after time off. I feel depressed and anxious. I set up small goals &amp; action steps to get myself out of a burnout phase but I know that work drains me enough to want to give up. I am feeling hopeless. #AskingAutistics how to proceed.
5793,JosMalik4,2023-01-02 17:59:01+00:00,0,Twitter for Android,I could be depressed af &amp; still cheer you up..That’s how strong I am.
5794,rsnbrgr,2023-01-02 17:57:22+00:00,1,Twitter for Android,I'D BE FINE IF YOU STOPPED TELLING ME HOW DEPRESSED I AM!
5795,smalltowngirld1,2023-01-02 17:48:31+00:00,1,Twitter for Android,"Your may believe otherwise oo, I am just sharing from personal experience. This is how I got out of a very dark season where I was really depressed &amp; had suicidal thoughts. One thing I learnt was that God was waiting for me right there on the other side of my ""playing it cool""."
5796,AnushkaPujare,2023-01-02 17:47:40+00:00,1,Twitter for Android,"I am so depressed for my preliminary exams 😭pls @ArmaanMalik22 @AmaalMallik wish me best of luck , tomorrow onwards my pre - boards are starting 😰and I really need your best wishes 🥺."
5797,TheYeehawBoah,2023-01-02 17:43:52+00:00,0,"Cheap Bots, Done Quick!",Morning' I like to get very drunk when I am depressed it's kinda depressing
5798,Shalini15264540,2023-01-02 17:42:35+00:00,0,Twitter for Android,"Meesho app is waist off time application and I am Camplaint 1 month but not solve listen my problems Order ID 779591287847 .. Meesho is very bad don't use this application

I am very depressed #meesho"
5799,Amrmuhameedx,2023-01-02 17:39:33+00:00,4,Twitter for iPhone,I know you feel happy without me because I am a depressed person.
5800,Saadiatistic17,2023-01-02 17:35:29+00:00,4,Twitter for Android,I tweet a lot when I am depressed.
5801,BitchCaliban,2023-01-02 17:31:57+00:00,1,Twitter Web App,"Mental health tip for the day: when I am feeling too depressed to clean myself I imagine my grandfather who was a mild mannered ayurvedic physician and how disappointed he'd be that his own granddaughter cant do like, tier 0 of ayurvedic wellness (bathe). It helps!"
5802,PraniTripathi,2023-01-02 17:26:40+00:00,1,Twitter for Android,"Everyone says
 i don't care
 everyone says 
I am positive
 everyone says
 I am happy all the  time
 you go home and  see!!! everyone will be depressed..!!  as in there life ..!!
life is full
 of inside pain💔"
5803,AhmedYetAzari,2023-01-02 17:26:26+00:00,6,Twitter for Android,@spotify i am really depressed and poor can U extend My Premium for A couple months?😞
5804,alpakaimut,2023-01-02 17:26:14+00:00,0,Twitter for Android,"birthdays here, i'am still depressed"
5805,DukesGixer,2023-01-02 17:21:46+00:00,0,Twitter for iPhone,"@Sarcasmcat24 Here I am, tucked away in 🏴󠁧󠁢󠁳󠁣󠁴󠁿👋. 

Whilst the jabbed around me have recurring infections I’m just mentally ill(angry and depressed) at the stupidity of the human race in accepting these clot shots as the start of the Great Reset!! 

#VaccineDeaths"
5806,Duckie_2,2023-01-02 17:18:54+00:00,6,Twitter for Android,"My helpful tip. 

If you  depressed  and sad.  

Find a person that you can talk about everything  for  24 / 7.  

I am thankful for the one I have ! 💚"
5807,barclerk,2023-01-02 17:17:22+00:00,42,Twitter for iPhone,I’ve had new security cameras fitted around the outside of the whole house but all it’s done is depress me. I never realised how thin I am on top until now…#oldbaldboy https://t.co/8Mg39177Vs
5808,FitMonkSupport,2023-01-02 17:15:00+00:00,0,Buffer,"Sometimes I wish I could sing as well as a pop star can.

It would help me to express my feelings more and motivate others to not feel depressed!

Life is too short to have depression.

I suffered from depression but I made it out of there and I am feeling better than ever!"
5809,ZaiiKim_01,2023-01-02 17:13:45+00:00,0,Twitter for Android,"@yoongi_far_away This is in my all time wishlist 
I believe i would just go depressed all day if i am not winning this
Life goes on https://t.co/kUk2Tz43fM"
5810,MikeBelyea1,2023-01-02 17:09:51+00:00,0,Twitter for Android,@Duckie_2 I don't get depressed like I used too you would see how I am if you actually hung around me
5811,JCrosbyCBS,2023-01-02 17:07:03+00:00,1,TweetDeck,"Ya know, I was really enjoying the Rose Parade, as usual, and then they had to say, ""Hey, here's some country music"" and now I am depressed."
